-0.19,-1.61,0.72,-14.55,5.83,39.02,0.006792306900024
-0.14,-1.29,0.7,-31.26,-5.36,32.47,0.097140550613403
-0.11,-0.7,0.6,-66.9,12.17,44.19,0.1549813747406
-0.21,0.07,0.43,-115.91,22.12,61.44,0.20415496826172
-0.18,2,-0.46,-226.88,39.28,25.22,0.25852727890015
0.93,2,-1.92,168.28,230.95,-163.38,0.31127262115479
-0.33,2,-1.63,554.78,307.74,-447.73,0.36911797523499
-0.95,2,-0.16,554.78,133.94,-227.09,0.40824627876282
-0.96,2,0.26,514.06,8.57,-131.52,0.45831775665283
-1,0.94,-1.39,144.77,482.15,390.89,0.52272939682007
-0.24,-2,0.03,23.77,-254.44,132.56,0.56739020347595
-0.01,-2,0.03,61.5,-196.91,171.09,0.62824773788452
-0.3,-1.13,-0.1,116.54,-19.6,-23.06,0.67856669425964
0.32,0.5,0.01,163.93,149.56,-15.72,0.71378207206726
0.03,1.53,-0.07,195.25,202.49,-176.05,0.74736642837524
0.12,1.34,0.18,227.54,83.92,-150.77,0.76422095298767
0.11,1.05,0.19,168.12,-68.14,-32.69,0.80920791625977
0.36,0.44,-0.03,13.56,-206.43,92.99,0.84521412849426
0.19,-0.82,0.35,103.07,211.97,24.21,0.89670443534851
-0.5,-0.82,0.77,-72.27,25.33,36.74,0.94669437408447
-0.29,-0.66,0.58,-176.26,-42.64,60.94,0.99815845489502
-0.22,2,-1.67,-439.78,70.86,169.98,1.0542547702789
0.8,2,-2,554.78,-339.25,-476.37,1.1097993850708
0.28,2,1.44,-172.67,-484.5,12.91,1.1600139141083
1.52,2,-1.42,-445.75,-298.26,524.16,1.1935276985168
0.35,-1.31,0.78,120.57,-224.58,-95.52,1.2244737148285
0.06,-1.97,0.33,-127.75,-75.91,275.34,1.2583668231964
0.28,-0.7,-0.1,99.57,-4.53,-126.08,1.2912812232971
0.32,-0.63,-0.11,111.76,2.83,-120.3,1.3499960899353
0.39,-0.14,-0.07,144.43,61.1,-72.07,1.4008300304413
0.14,0.96,-0.06,90.6,101.62,-4.45,1.4487009048462
0.08,0.81,0.34,148.41,28.29,39.02,1.4953994750977
0.03,0.73,0.36,79.03,24.92,28.38,1.5422701835632
0.15,-0.14,0.22,-140.7,-22.35,161.11,1.575377702713
0.12,-0.22,0.24,-138.29,-14.78,189.12,1.6390039920807
-0.54,1.69,-0.51,-343.78,294.8,139.23,1.6888325214386
-0.54,2,-0.82,-353.4,289.92,90.05,1.7368865013123
2,2,1.25,554.78,64.43,-476.37,1.7709374427795
0.24,1.05,-2,-427.26,366.11,524.16,1.8260431289673
-1.01,0.26,0.39,24.72,-122.35,-377.82,1.8698930740356
0.04,-1.25,0.13,-130.94,-188.53,-60.88,1.919282913208
-0.42,-1.04,-0.17,119.44,-12.49,32.54,1.9681525230408
0.03,0.15,-0.06,102.45,-65.8,-102.78,2.0188901424408
0.21,0.36,-0.04,94.09,-74.88,-97.06,2.0627717971802
0.44,0.21,0.01,23.59,32.6,15.12,2.0927197933197
0.37,0.18,0.04,25.68,45.62,32.65,2.1236042976379
-0.31,-0.3,0.48,-8.27,51.53,125.99,2.1641554832458
-0.29,-0.35,0.42,-146.18,-18.03,37.96,2.216899394989
-0.17,-0.33,0.34,-164.75,-11.94,26.51,2.2604465484619
