0.2,0.68,0.66,-69.19,-25.19,-27.74,0.018865346908569
0.19,0.67,0.64,-67.83,-22.95,-29.63,0.10984182357788
0.18,0.68,0.65,-67.16,-23.3,-30.01,0.15814852714539
0.15,0.67,0.67,-47.45,-22.17,-14.93,0.41606307029724
0.11,0.64,0.62,-45.97,-25.36,-23.13,0.47183561325073
0.16,0.61,0.59,-27.36,-32.87,-28.65,0.54987621307373
0.17,0.63,0.59,-18.61,-32.72,-28.91,0.60850238800049
0.17,0.63,0.59,-17.87,-32.57,-28.06,0.65602970123291
0.18,0.62,0.6,-10.12,-35.01,-22.04,0.70676183700562
0.19,0.61,0.59,-9.22,-34.81,-21.42,0.73969554901123
0.2,0.3,0.53,21.95,-46.51,7.5,0.80485320091248
0.08,0.71,0.79,-110.41,26.47,70.22,0.86067628860474
0.12,0.49,0.48,-115.88,46.03,80.17,0.91684341430664
0.09,0.45,0.41,-113.24,61.3,81.9,0.96687531471252
0.09,0.43,0.38,-111.29,66.56,81.97,1.0157315731049
-0.12,0.74,-0.17,-40.11,60.24,25.76,1.0446243286133
-0.27,1.32,-0.39,-27.99,16.7,-23.74,1.0969221591949
-0.32,1.39,-0.39,-13.97,-8.58,-54.88,1.1642587184906
-0.01,2,1.18,235.25,-49.61,-411.1,1.2122354507446
-0.03,2,1.32,214.39,-66.48,-374.52,1.2702126502991
-0.07,2,1.41,190.56,-92.23,-324.5,1.3059966564178
-0.1,2,1.44,178.84,-107.06,-299.42,1.3391075134277
-0.2,1.3,1.44,115.17,-276.31,-218.41,1.3690590858459
-0.15,1.17,1.44,120.1,-293.83,-242.56,1.4051172733307
0.13,0.69,1.32,92.96,-342.09,-282.55,1.4445061683655
0.26,-0.01,0.82,95.51,-391.1,-205.04,1.4919090270996
0.59,-0.35,0.58,91.1,-268.86,-119.98,1.5394856929779
0.71,0.27,0.63,-312.46,172.61,156.74,1.5873260498047
0.81,0.64,0.75,-377.62,289.54,197.71,1.6394231319427
0.83,0.96,0.91,-396.64,341.01,201.42,1.6861219406128
0.82,1.5,1.19,-443.39,387.49,191.1,1.7338681221008
0.26,2,1.47,-521.1,476.3,391.64,1.7935910224915
-0.29,2,0.95,-519.03,403.34,63.74,1.8446152210236
-0.11,1.03,-0.47,-412.17,201.75,146.2,1.8865215778351
-0.12,0.28,-0.85,-71.03,34.32,19.24,1.9196047782898
0.01,0.33,-1.08,61.68,-43.35,-33.65,1.9613592624664
-0.39,0.43,-1,141.52,-184.54,-133.68,2.0064430236816
0.36,0.91,0.2,173.01,-283.79,-331.08,2.0432395935059
0.44,0.89,0.43,218.78,-201.45,-378.24,2.1096160411835
-0.49,2,2,363.68,-79.24,-480.12,2.1568078994751
0.28,1,1.57,38.62,-524.23,150.54,2.2082726955414
1.08,0.37,1.07,24.1,-478.77,115.97,2.2502112388611
0.04,0.36,0.64,65.59,202.53,13.71,2.298079252243
-0.35,0.39,0.69,-9.22,82,32.29,2.3436555862427
0.11,-0.07,0.38,-203.91,-30.34,104.86,2.401784658432
0.53,-0.02,0.34,-204.48,192.68,188.03,2.4328978061676
0.64,1.05,0.65,-344.48,322.5,180.34,2.4697036743164
0.67,1.17,0.69,-356.26,304.75,209.83,2.5006124973297
0.67,2,1.1,-222.37,288.88,210.89,2.552930355072
-0.24,1.72,0.34,-116.17,19.48,-128.9,2.6060588359833
0.22,0.57,-0.29,-17.03,-233.7,-176.53,2.660965681076
0.17,0,-0.46,-2.4,-84.51,-233.11,2.7122483253479
-0.06,-0.36,-0.41,-32.03,-54.49,-220.04,2.7540717124939
-0.11,-0.47,-0.28,-19.27,-206.23,-241.68,2.8129081726074
-0.15,0.26,0.22,-108.25,-169.59,-206.75,2.8756053447723
0.1,2,1.85,44.33,-143.79,-355.34,2.9252922534943
0.46,1.79,1.35,26.62,-313.54,249.1,2.9671149253845
-0.77,-0.14,0.7,31.6,146.06,-46.38,3.0081281661987
-0.18,-0.65,0.85,-69.12,-153.01,119.85,3.0593819618225
0.32,-0.43,0.96,-87.32,-94.84,153.19,3.1127021312714
0.68,1.67,0.99,-397.01,287.46,49.07,3.1620497703552
0.33,1.6,0.75,-340.05,476.3,-122.42,3.1987919807434
-0.37,1.22,0.53,-218.23,476.3,-289.59,3.2486567497253
0.87,0.43,-0.91,-43.88,281.78,-241.26,3.2849266529083
0.49,0.43,-0.84,-64.12,314.01,-282.82,3.3376519680023
-0.03,0.4,-0.74,-86.19,270.06,-313.31,3.3865602016449
0.25,2,1.93,-6.29,-340.74,-176.65,3.4438760280609
0.19,2,1.82,-86.32,-167.22,-246.53,3.4895007610321
-1.67,0.21,0.57,-112.28,234.88,-500.1,3.5234754085541
-2,-1.68,1.05,19.17,476.3,-524.91,3.5533447265625
-2,-0.32,1.92,125.55,-172.9,-524.91,3.5973443984985
0.83,-0.38,1.09,-462.52,413.71,-361.02,3.6483340263367
0.52,1.47,1.65,-62.74,-440.09,-3.57,3.6890776157379
0.84,2,1.3,-159.7,-365.33,97.77,3.7217974662781
-0.71,0.96,0.27,17.28,-337.18,262.17,3.7547943592072
-1.09,0.39,0.05,116.32,-98.22,311,3.8063814640045
-0.89,0.27,0.12,155.71,-268.72,324.46,3.8552873134613
-1.84,0.63,-0.18,-31.71,302.12,-6,3.90291929245
-0.96,0.81,0.11,-61.54,-138.8,-131.3,3.950122833252
0.38,-0.25,1.88,73.8,-524.23,-520.49,3.9980237483978
0.4,2,2,153.84,172.35,99.39,4.0454032421112
-1.74,0.29,1.4,87.69,-395.38,-247.13,4.0860760211945
-0.34,0.13,1.18,-22.41,-524.23,-173.48,4.148538351059
1.16,0.6,1.49,-157.71,36.53,-202.53,4.1937961578369
-0.53,1.05,1.37,-221.38,208.76,-182.09,4.2478549480438
-0.77,1.36,1.03,-190.8,-37.91,-209.95,4.2880661487579
-0.65,1.35,0.82,-183.61,-122.38,-215.17,4.3448665142059
0.08,0.33,-0.03,-125.59,-183.18,-77.84,4.3927428722382
-0.02,0.19,-0.18,-4.78,-61.88,-110.61,4.4386510848999
-0.16,0.44,-0.5,95.19,-369.88,-116.04,4.4885489940643
0.46,0.9,-0.58,17.81,-389.77,-386.26,4.5382974147797
0.06,2,1.89,308.59,-297.65,-524.91,4.5840792655945
-0.08,2,2,303.89,-310.26,-524.91,4.6174101829529
-0.49,2,2,310.67,-524.23,-493.2,4.6526083946228
1.33,0.41,1.05,-123.74,-318.4,-131.36,4.7055237293243
0.4,-0.18,0.76,-42.25,-12.96,-178.49,4.7418029308319
0.06,-0.49,0.66,26.44,-276.26,-159.51,4.7842223644257
0.32,-0.42,0.57,23.77,-244.7,-95.94,4.8249576091766
0.5,1.29,1.57,-385.1,27.23,-14.55,4.8788137435913
0.52,1.48,1.71,-415.48,50.41,-23.14,4.9236559867859
-0.23,2,2,-433.39,146.94,-124.49,4.968638420105
0.03,1.85,0.08,-503.88,-50.9,113.87,5.0078513622284
-0.06,0.74,-0.69,-293.51,-22.9,52.86,5.0626344680786
-0.09,0.01,-0.91,-50.25,60.36,-60.75,5.1090996265411
-0.48,0.05,-1.14,183.25,-305.68,-172.39,5.1548352241516
-0.14,0.28,-1.05,186.01,-415.29,-245.45,5.2065434455872
0.39,2,2,217.22,-377.04,-524.91,5.2386696338654
0.44,2,2,200.59,-401.53,-524.91,5.2852478027344
0.6,2,2,146.84,-449.21,-417.92,5.3379039764404
0.67,0.7,0.92,20.7,-111.62,-184.88,5.3847379684448
0.39,0.47,0.61,88.03,-25.09,-88.09,5.4318521022797
0.27,0.42,0.47,136.24,-14.51,-40.65,5.4724662303925
0.19,0.21,0.43,52.94,-24.61,-6.47,5.5297145843506
0.36,-0.21,0.43,-50.41,-30.28,56.2,5.568562746048
0.24,-0.15,0.67,-107.15,115.42,106.32,5.6304728984833
0.17,0.36,0.97,-131.83,154.53,78.2,5.6721279621124
0.56,2,0.67,-550.4,75.98,90.06,5.7125840187073
0.21,2,0.17,-360.6,153.71,5.29,5.7527565956116
-0.22,2,0.04,-197.61,117.95,-201.22,5.795560836792
-0.35,0.08,-0.87,-113.96,-105.61,-81.98,5.8314907550812
-0.43,-0.59,-0.87,115.31,-191.9,-299.78,5.8839585781097
-0.36,-0.73,-0.73,262.61,-235.48,-312.3,5.9157831668854
-0.29,-0.71,-0.72,312.88,-252.43,-314.71,5.9824290275574
0.18,1.19,0.02,449.75,-269.45,-383.3,6.028840303421
0.83,2,1.51,176.17,-508.64,117.58,6.0635511875153
1.24,0.38,0.21,-140.06,138.09,138.32,6.1228590011597
0.33,0.61,0.61,-135.93,147.75,123.38,6.1686453819275
0.41,0.77,0.6,-146.2,143.49,130,6.2189574241638
0.44,2,0.83,-227.77,71.52,139.5,6.2651574611664
0.24,0.58,-0.37,-252.19,3.43,36.16,6.3243680000305
-0.25,-0.28,-0.52,-194.17,65.77,-89.69,6.3625586032867
-0.38,-1.01,-0.53,-208.22,-138.26,-85.91,6.4234204292297
0.13,0.63,0.69,-74.09,-28.58,-35.91,0.015185356140137
0.13,0.63,0.71,-73.36,-32.57,-37.34,0.0865638256073
0.18,0.6,0.71,-70.4,-6.16,-21.28,0.13601517677307
0.09,0.57,0.73,-61.53,-15.83,-20.42,0.41784167289734
0.05,0.53,0.69,-67.41,-22.87,-18.17,0.48067378997803
0.05,0.52,0.64,-68.22,-21.88,-19.66,0.53133702278137
0.05,0.52,0.62,-67.41,-19.39,-20.23,0.57399439811707
0.01,0.59,0.47,-68.46,19.71,-27.22,0.62500190734863
0,0.61,0.44,-68.52,28.9,-27.59,0.67186737060547
-0.07,0.67,0.37,-68.31,48.85,-32.67,0.73364615440369
-0.32,0.88,0.13,-33.18,62.76,-82.53,0.78631496429443
-0.35,0.85,0.03,-19.88,74.07,-112.96,0.83391761779785
-0.56,0.69,0.23,180.53,-10.99,-204.87,0.88417053222656
-0.51,0.88,0.39,249.66,-104.95,-237.62,0.93212223052979
-0.23,0.74,0.67,260.12,-341,-201.08,0.97812962532043
-0.08,0.68,0.92,270.12,-374.03,-216.5,1.0190482139587
0.28,0.58,1.11,250.56,-404.52,-232.21,1.0674192905426
0.51,0.21,1.36,-12.81,-81.59,-38.1,1.1306073665619
0.49,0.18,1.37,-19.3,-84.55,-25.66,1.1954395771027
0.7,0.15,1.48,-87.7,-103.04,109.04,1.2442486286163
0.77,2,1.01,-550.78,471.97,398.63,1.2696180343628
0.35,2,0.62,-550.78,476.3,386.02,1.3117537498474
-0.63,1.59,0.04,-518.57,336.35,244.51,1.3512728214264
-0.27,0.64,-0.97,-238.26,-198.8,164.63,1.3852174282074
-0.19,0.34,-1.25,-198.6,-232.48,169.5,1.4408538341522
-0.09,-0.12,-1.69,-85.82,-244.98,157.03,1.4905853271484
-0.07,-0.32,-1.9,-9.85,-223.56,135.53,1.54159283638
-0.57,0.79,-1.97,425.13,-125.62,-193.78,1.5923652648926
1.01,2,1.12,431.01,-0.02,-524.91,1.6283740997314
0.91,2,1.26,414.93,43.2,-524.91,1.660552740097
-0.45,2,2,363.92,-89.59,-429.75,1.6774542331696
0.99,0.53,1.52,-0.9,-524.23,-157.81,1.7226159572601
0.77,-0.32,1.6,-36.86,-293.47,-40.24,1.7691416740417
0.98,-0.37,1.5,-105.41,-288.63,66.46,1.8249056339264
1.04,-0.39,1.47,-133.79,-269.3,108.09,1.8723418712616
0.83,1.06,1.31,-348.78,339.92,266.05,1.9164116382599
0.71,1.55,1.27,-422.86,395.59,271.83,1.9622259140015
0.31,1.98,-0.02,-493.65,430.39,348.92,2.0187103748322
0.14,2,-0.15,-264.31,385.22,101.01,2.0560736656189
0.13,1.28,-0.5,19.26,-71.53,-76.79,2.116090297699
0.36,0.9,-0.68,56.88,-178.26,-72.13,2.1514666080475
-0.36,0.14,-0.76,121.6,-134.29,-238.93,2.1683144569397
-0.41,0.14,-0.69,143.39,-207.18,-286.24,2.2200045585632
-0.11,0.25,-0.52,168.96,-319,-425.92,2.2660636901855
0.03,0.33,-0.18,328.56,-303.19,-438.94,2.3159711360931
-0.16,2,2,377.04,-524.23,-411.65,2.3714897632599
2,1.03,1.84,191.69,-236.86,21.97,2.4192848205566
0.32,0.95,2,-158.09,476.3,166.02,2.4539985656738
0.8,1.86,0.2,-550.78,142.13,427.19,2.4949374198914
-0.5,2,-1.47,-550.78,444.39,270.77,2.5387015342712
-0.98,2,-1.78,-434.25,314.21,186.81,2.5920209884644
-0.38,0.82,-1.8,57.42,-167.38,-48.94,2.6230504512787
